LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;438;23;0,165896093877526;121,685932559328%;13,4786856306421;0,0449289521021404;
0,2;0,2;269;18;0,166583156828331;122,390761627332%;13,6709695892225;0,0455698986307417;

;;;Time;MAE;MAPE;SSE;MSE
;;;20;0,164665344074865;116,994278667246%;15,4044673121154;0,0513482243737179;
;;;20;0,167288672879601;120,828065811487%;16,6361604203363;0,0554538680677878;

