LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,01;0,3;338;24;0,0384241857647902;18,1608728307676%;1,66553198867459;0,00416382997168648;
0,3;0,25;493;33;0,0568012659984749;30,4095067575253%;2,28544481556938;0,00571361203892345;
0,05;0,15;194;13;0,0400111988465896;19,857249393908%;1,71550307305721;0,00428875768264302;

;;;Time;MAE;MAPE;SSE;MSE
;;;15;0,0369150060670013;17,1972976050818%;1,87025392343139;0,00467563480857847;
;;;15;0,0385216440610685;17,9676519255774%;1,95055099926763;0,00487637749816909;
;;;15;0,0378450575594032;17,067644641381%;1,73907997522571;0,00434769993806428;
;;;15;0,0389307171650166;18,2276640614144%;2,01968714031005;0,00504921785077512;
;;;15;0,036180412023469;16,5147043385668%;1,75722812452138;0,00439307031130345;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;101;7;0,0477689468045755;24,4251020465826%;2,2212936805236;0,005553234201309;
0,2;0,2;888;6;0,0495690800896052;25,7028734656199%;2,35246770158684;0,00588116925396711;
0,01;0,3;292;20;0,0399466519305255;18,8469365739234%;2,0008062525323;0,00500201563133074;
0,3;0,25;400;29;0,0545388083082276;28,42690992412%;2,47372055573117;0,00618430138932793;
0,05;0,15;118;9;0,0420127903791221;20,5513781515729%;2,04595584017981;0,00511488960044952;

;;;Time;MAE;MAPE;SSE;MSE
;;;15;0,0383227796925106;17,3782624588693%;2,17255680760058;0,00543139201900144;
;;;16;0,0383052679858451;18,5413972964329%;2,58315633086812;0,0064578908271703;
;;;14;0,0382295100009124;17,4470352983703%;2,10579200325759;0,00526448000814398;
;;;15;0,0387870915516855;18,3091839852998%;2,48927117695243;0,00622317794238109;
;;;14;0,0378447383394587;17,3342776176507%;2,15893521854894;0,00539733804637236;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;260;13;0,0255865777871961;14,0891714445732%;0,446562466508903;0,00148854155502968;
0,2;0,2;242;13;0,0266804092444243;14,1657070160609%;0,509194561155236;0,00169731520385079;
0,01;0,3;404;21;0,0308729110106204;16,8833526250653%;0,69227467297245;0,0023075822432415;
0,3;0,25;264;14;0,029561209880801;15,2002596206947%;0,629858617128776;0,00209952872376259;
0,05;0,15;250;13;0,0259996235758248;14,4988701791013%;0,476174397118844;0,00158724799039615;

;;;Time;MAE;MAPE;SSE;MSE
;;;12;0,0249506510445385;14,2306246027589%;0,425585964885394;0,00141861988295131;
;;;11;0,0252872916732989;14,6168899911484%;0,426539718594106;0,00142179906198035;
;;;11;0,0303492012601313;16,459638139004%;0,663220463300203;0,00221073487766734;
;;;11;0,0234570290260714;13,4814629764836%;0,377237447691941;0,00125745815897314;
;;;11;0,0256266546919139;14,6191257696743%;0,435817099815488;0,00145272366605163;

