LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
;;;1;0,00331037828062839;3,04802740718555%;0,000453558561104164;1,22583394893017E-05;
;;;1;0,00343241752195782;3,16069928196178%;0,000485014725136425;1,31085060847682E-05;
;;;1;0,00338964747817868;3,12123461699915%;0,000473696286423788;1,28026023357781E-05;
;;;1;0,00331409672677397;3,05151446807031%;0,000454045381586811;1,22714967996435E-05;
;;;1;0,00321935905540201;2,963985263175%;0,000430974754678125;1,1647966342652E-05;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;462;1;0,0564973190782057;15,6528408660221%;0,208270193004807;0,00991762823832415;
0,2;0,2;253;1;0,0663538121626832;20,5337302003063%;0,22207437175096;0,010574970083379;
0,01;0,3;815;2;0,0836401709136271;24,8645746953204%;0,337136801379258;0,0160541333990123;
0,3;0,25;240;1;0,0685993139609955;22,839191829861%;0,199030250767395;0,00947763098892356;
0,05;0,15;1034;2;0,0600383443432301;16,2512657121558%;0,234680066671264;0,0111752412700602;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0613932770465982;14,6403840999752%;0,255041682012775;0,0121448420006083;
;;;1;0,0669992822463769;15,6943958235688%;0,278300635595158;0,0132524112188171;
;;;1;0,0698586295244019;15,4348434366395%;0,33907583211295;0,0161464681958547;
;;;1;0,0614767519982026;13,6926574907055%;0,265597351543488;0,0126474929306423;
;;;1;0,0618036011475561;14,5663615128568%;0,283582897949232;0,013503947521392;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;464;1;0,0649960084530779;26,6418293867738%;0,161561367895555;0,00769339847121692;
0,2;0,2;172;1;0,0719563163562528;30,0076872110623%;0,18349723140779;0,00873796340037095;
0,01;0,3;697;2;0,0936314575433365;37,9949683524919%;0,298307886652217;0,0142051374596294;
0,3;0,25;226;1;0,0699232258251383;28,2487219601569%;0,182451769621964;0,00868817950580782;
0,05;0,15;178;1;0,0868291102029378;36,1454165593114%;0,260473653561548;0,0124035073124547;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0522462213508507;15,5655807970499%;0,172270974208411;0,00820337972421006;
;;;1;0,0483907407812305;13,9975052651637%;0,14700344061428;0,00700016383877526;
;;;1;0,0669553485988628;23,0306047303282%;0,234547768485554;0,0111689413564549;
;;;1;0,049821999083792;14,4730488805936%;0,156868698092511;0,0074699380044053;
;;;1;0,0624435529888627;18,5185051431238%;0,236697513647716;0,0112713101737008;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;635;2;0,045596963139193;18,4859078537263%;0,111426015471288;0,00464275064463702;
0,2;0,2;967;2;0,049129400496032;19,8474274574492%;0,107599816466336;0,00448332568609734;
0,01;0,3;1030;2;0,0514633355609823;21,0188406456611%;0,141651192211375;0,00590213300880728;
0,3;0,25;923;2;0,052816810299752;21,4969252752393%;0,137118085967636;0,00571325358198484;
0,05;0,15;268;1;0,0508635012248995;20,9309345258416%;0,137764078424924;0,00574016993437182;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0459146542321363;16,6561510593322%;0,118981781959851;0,00495757424832714;
;;;1;0,0480888797421075;16,9825732133617%;0,115285103667358;0,0048035459861399;
;;;1;0,0577711859095053;20,5068113636518%;0,180820844700226;0,00753420186250943;
;;;1;0,0553391598104889;20,494964766185%;0,160247445639487;0,00667697690164527;
;;;1;0,0567250237839299;20,3440667807581%;0,167526824672452;0,00698028436135216;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;148;11;0,0449913497110948;23,110054285173%;1,8453838718788;0,004613459679697;
0,2;0,2;831;57;0,0499539122858625;26,1975375797347%;2,04850055036034;0,00512125137590084;
0,01;0,3;335;23;0,0386544127626831;18,3933768468603%;1,67606057512311;0,00419015143780778;
0,3;0,25;481;33;0,0548604238778697;29,1336185004119%;2,20297230392004;0,0055074307598001;
0,05;0,15;188;14;0,0399556221234945;19,808792280766%;1,69900174890515;0,00424750437226286;

;;;Time;MAE;MAPE;SSE;MSE
;;;15;0,0374893301232522;17,1830403606324%;1,76265325703832;0,0044066331425958;
;;;14;0,0378125292174053;17,6713544498778%;1,80472452116106;0,00451181130290264;
;;;15;0,0375457755935116;16,9556736932028%;1,79839336588657;0,00449598341471642;
;;;15;0,0372384337836693;17,4413513265278%;1,90328909888903;0,00475822274722258;
;;;15;0,0368700032755151;16,7695168450045%;1,72477311543367;0,00431193278858419;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;157;11;0,0475023011030419;24,219111798796%;2,21567958680953;0,00553919896702382;
0,2;0,2;888;1;0,0501860383237281;26,1106786861637%;2,38110601813273;0,00595276504533183;
0,01;0,3;308;22;0,0403659612827504;19,0194680799628%;2,02065685030248;0,0050516421257562;
0,3;0,25;415;28;0,0547117934709672;28,5325414241961%;2,47256909082857;0,00618142272707143;
0,05;0,15;129;10;0,0416938751565265;20,3469270451138%;2,05675497104713;0,00514188742761781;

;;;Time;MAE;MAPE;SSE;MSE
;;;14;0,0378874050637657;17,4381791077847%;2,20533082762572;0,00551332706906429;
;;;14;0,0385925643851125;18,4473551580395%;2,36751087942048;0,00591877719855119;
;;;15;0,0377973152448812;17,213838557721%;2,12589555792072;0,0053147388948018;
;;;14;0,0377519990433246;17,6092973463167%;2,32902836933897;0,00582257092334744;
;;;15;0,0380414456261168;17,5288133397814%;2,30468236987485;0,00576170592468712;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;287;15;0,0253865869351626;13,9562713371365%;0,428349247121931;0,00142783082373977;
0,2;0,2;282;15;0,0269588996299353;14,2792741799757%;0,505285366204166;0,00168428455401389;
0,01;0,3;445;23;0,031586927766842;17,2652363886387%;0,729509219449237;0,00243169739816412;
0,3;0,25;234;12;0,0297183088775774;15,3136687511668%;0,657211627091779;0,00219070542363926;
0,05;0,15;243;13;0,026217213235733;14,4648496282434%;0,487857956569397;0,00162619318856466;

;;;Time;MAE;MAPE;SSE;MSE
;;;11;0,0242900216920572;13,8581495352475%;0,395865955914639;0,00131955318638213;
;;;12;0,0248692208561986;14,1957728814305%;0,415692885343342;0,00138564295114447;
;;;11;0,0298644833084359;16,1645367403134%;0,66948127381807;0,00223160424606023;
;;;11;0,0255348654395913;14,7941934774018%;0,45476709900795;0,0015158903300265;
;;;11;0,0261158754050709;14,7116240499203%;0,473835023002211;0,00157945007667404;

