LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;451;1;0,0681341636721401;19,5511674538484%;0,19825315470838;0,0090115070321991;
0,2;0,2;329;1;0,0741212561331187;22,636875831039%;0,214696483849792;0,00975893108408146;
0,01;0,3;572;1;0,0668369314384554;19,89556111173%;0,183773471627792;0,00835333961944507;
0,3;0,25;109;1;0,081000062455813;24,3244250649066%;0,255079709799532;0,0115945322636151;
0,05;0,15;647;2;0,0669454643699294;18,1320033409963%;0,192127276412686;0,00873305801875845;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0642681356927239;16,2661002671407%;0,198261396045203;0,00901188163841832;
;;;1;0,0671561227217413;17,2105956863037%;0,201894529895719;0,00917702408616906;
;;;1;0,064066619485574;18,1928111904632%;0,179748913910698;0,008170405177759;
;;;1;0,0678602896957366;17,4317981760936%;0,212283896680852;0,00964926803094783;
;;;1;0,0673410970113869;17,1944857809301%;0,210839028400975;0,00958359220004433;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;174;1;0,0519380996532786;20,7451759448355%;0,128196186473488;0,00534150776972867;
0,2;0,2;800;2;0,0393172622771881;15,574629260123%;0,093677184130664;0,00390321600544433;
0,01;0,3;987;2;0,052729525799016;19,5921024570539%;0,140799072821573;0,00586662803423221;
0,3;0,25;712;2;0,0387097468175446;15,555034289222%;0,0870601734138292;0,00362750722557622;
0,05;0,15;322;1;0,0506711031336284;19,4617287199799%;0,1312723276742;0,00546968031975835;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0572570148626879;19,5142631548912%;0,161072824412655;0,00671136768386062;
;;;1;0,0422646990254674;14,6414363285566%;0,11096272595079;0,00462344691461626;
;;;1;0,0520982355935559;17,2333606604984%;0,136388271182742;0,00568284463261426;
;;;1;0,0450655962869777;16,1732062707422%;0,107629446933407;0,00448456028889195;
;;;1;0,0590046364494696;20,1492974382095%;0,17107258492384;0,00712802437182666;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;101;1;0,00309022778053516;2,84462694248927%;0,000401349768334323;1,08472910360628E-05;
0,2;0,2;101;1;0,00277657217759536;2,55463417216201%;0,000335042726008596;9,05520881104315E-06;
0,01;0,3;101;1;0,00332631065465136;3,06252783882971%;0,000459818467640248;1,24275261524391E-05;
0,3;0,25;101;1;0,0021159410215208;1,94494696043882%;0,000209627413718597;5,66560577617831E-06;
0,05;0,15;101;1;0,00320841493274118;2,95370759161743%;0,000430074565264126;1,16236368990304E-05;

;;;Time;MAE;MAPE;SSE;MSE
