LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,01;0,3;367;27;0,0391030486017019;26,2335856177345%;1,68369034245305;0,00420922585613264;
0,3;0,25;778;54;0,0499886213867276;37,4481040347329%;2,15158782068371;0,00537896955170928;
0,05;0,15;164;12;0,0390138015943861;26,8205105121517%;1,73438984555364;0,00433597461388411;

;;;Time;MAE;MAPE;SSE;MSE
;;;17;0,0365960473057058;23,3632356647014%;1,83578629907221;0,00458946574768053;
;;;16;0,0374998289451583;23,9152893858368%;1,82243906629425;0,00455609766573562;
;;;15;0,0379333693447077;23,4935569558131%;1,75426083065202;0,00438565207663004;
;;;15;0,0386456358146941;25,4099205528461%;1,92535002846932;0,00481337507117329;
;;;15;0,0375701018858928;23,8181711286422%;1,87103954364398;0,00467759885910995;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;103;8;0,0440329136341317;31,473410784209%;2,16392927071245;0,00540982317678113;
0,2;0,2;512;36;0,0499383537138094;36,9888438892236%;2,38215742618068;0,00595539356545171;
0,01;0,3;299;22;0,0413025054679385;27,7109171868404%;2,05396558630359;0,00513491396575897;
0,3;0,25;434;32;0,0505402483449215;37,3743790702707%;2,392936048931;0,00598234012232751;
0,05;0,15;144;11;0,0412529334927851;28,5563163068727%;2,09237383936576;0,0052309345984144;

;;;Time;MAE;MAPE;SSE;MSE
;;;15;0,0383335867947436;25,2995395896098%;2,24171490306253;0,00560428725765633;
;;;15;0,0385106083182708;26,2392357658213%;2,37645830246119;0,00594114575615297;
;;;15;0,0396777454483708;25,7598857602153%;2,21873466150422;0,00554683665376055;
;;;16;0,038746253857136;26,6110374149789%;2,54621351146211;0,00636553377865528;
;;;16;0,0390838533452454;25,7708727914618%;2,32174898555132;0,0058043724638783;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;273;16;0,0257013473721166;21,4018784505984%;0,442670451907625;0,00147556817302542;
0,2;0,2;211;14;0,0263390259555463;21,1329008323734%;0,48484486040345;0,00161614953467817;
0,01;0,3;414;25;0,0318320415688941;26,1023609561072%;0,746828034381196;0,00248942678127065;
0,3;0,25;191;12;0,027774716409129;21,6157956958481%;0,561092435293143;0,00187030811764381;
0,05;0,15;277;16;0,0271020102374594;22,4336395032412%;0,534041188034518;0,00178013729344839;

;;;Time;MAE;MAPE;SSE;MSE
;;;12;0,0251534360465929;21,617678438594%;0,413050321550336;0,00137683440516779;
;;;12;0,0246955198535289;21,5604163442468%;0,405563370007786;0,00135187790002595;
;;;12;0,028994013177076;23,6093692680634%;0,59940254405244;0,0019980084801748;
;;;12;0,0246565212056014;21,6648763028733%;0,41305109848809;0,0013768369949603;
;;;12;0,0270046844821919;22,4298671382724%;0,51184089530187;0,0017061363176729;

