LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;339;1;0,0670950836288196;26,834232646953%;0,185309226982836;0,00842314668103799;
0,2;0,2;297;1;0,0753062208630699;31,0890082305032%;0,224766346931316;0,0102166521332416;
0,01;0,3;709;2;0,0619059370964601;21,0858121860109%;0,172410113086628;0,00783682332211944;
0,3;0,25;132;1;0,075364226319497;29,3866578881563%;0,231762070343804;0,010534639561082;
0,05;0,15;222;1;0,0644836409947645;23,2646310467172%;0,170924561043149;0,00776929822923403;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0651906036271683;21,8369173739898%;0,191469594282557;0,00870316337647987;
;;;1;0,0674514266269907;20,757728203909%;0,20649682646628;0,00938621938483093;
;;;1;0,060303434443505;19,500290667446%;0,172857648577315;0,00785716584442339;
;;;1;0,0618922354730557;20,9617739135269%;0,167384644175494;0,0076083929170679;
;;;1;0,0628156424971736;20,0539953668301%;0,17793523630173;0,00808796528644226;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;184;1;0,0490223903949182;25,6128016203925%;0,12458225410802;0,00519092725450083;
0,2;0,2;680;2;0,0407251728317796;22,4322040850403%;0,0965171592065238;0,00402154830027183;
0,01;0,3;1111;3;0,0519267334015091;26,0988208703487%;0,139570470812972;0,00581543628387385;
0,3;0,25;394;1;0,0478535637866008;26,9580376797108%;0,117632077932261;0,00490133658051088;
0,05;0,15;345;1;0,0505676687270876;26,4623049114401%;0,127050611785679;0,00529377549106996;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0570211024076541;25,4734300501322%;0,159105952396293;0,00662941468317889;
;;;1;0,0475343668397119;22,361784968747%;0,117577248952159;0,00489905203967328;
;;;1;0,0499217762317231;21,0932655811325%;0,129232081334385;0,00538467005559936;
;;;1;0,0552237898701837;25,7506495094562%;0,142889418178709;0,00595372575744623;
;;;1;0,0514528979680928;22,7067823139147%;0,13648078156935;0,00568669923205626;

LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE
0,1;0,1;325;2;0,0499232020302347;6,83613516118877%;0,152977408207681;0,00413452454615354;
0,2;0,2;197;1;0,0537742688373734;7,68261301795023%;0,169852417638321;0,00459060588211677;
0,01;0,3;1033;4;0,0547397301000215;7,2155359182867%;0,191170421948571;0,00516676816077218;
0,3;0,25;3423;11;0,045908925070897;6,41198063795904%;0,147828668371851;0,00399536941545542;
0,05;0,15;449;2;0,0512914711674163;6,90511947760006%;0,159276568376195;0,00430477211827554;

;;;Time;MAE;MAPE;SSE;MSE
;;;1;0,0467578954194883;6,33345398264884%;0,158374794584956;0,00428039985364747;
;;;1;0,0474907042586454;6,42094849523961%;0,15426258132909;0,00416925895484028;
