"25/11/2016
Scale: 0.02-0.99
BP:  Residual:1.0E-5
SA:   T1:9000 - T2:2 - Nin:15 - Nout:100
SA2: T1:1.5/1000 - Talpha:0.99 - Phase:200 - Walpha:0.01 - Loopin:10 - Threshold:1/1000";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BP + SA;;;;;;;;;SA2;;;;;
Runoff_216_TriAn;;;;;;;;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE;;;;;;;
;;;1;0,06950055;25,79%;0,309563353;0,014741112;;15;0,06193869;20,49%;0,224979358;0,010713303;
;;;1;0,067241916;23,09%;0,297351488;0,014159595;;19;0,068008203;23,03%;0,268373087;0,012779671;
;;;1;0,065852722;22,62%;0,318396686;0,015161747;;21;0,069514716;25,66%;0,277844603;0,013230695;
;;;1;0,067481545;20,47%;0,317028502;0,015096595;;42;0,065675183;20,38%;0,254096617;0,012099839;
;;;1;0,067552078;23,41%;0,2990079;0,014238471;;25;0,073546062;25,36%;0,285673022;0,013603477;
;;;1;0,067525762;23,08%;0,308269586;0,014679504;;24,4;0,067736571;22,98%;0,262193337;0,012485397;
;;;;;;;;;;;;;;
Runoff_204_PhuocLong;;;;;;;;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE;;;;;;;
0,1;0,1;852;2;0,059680377;49,29%;0,135969631;0,006474744;;;;;;;
0,2;0,2;420;1;0,063144214;53,18%;0,153465718;0,007307891;;;;;;;
0,01;0,3;771;2;0,082168204;70,60%;0,263516533;0,012548406;;;;;;;
0,3;0,25;278;1;0,069448568;58,53%;0,182001366;0,008666732;;;;;;;
0,05;0,15;988;2;0,061236255;49,17%;0,153625069;0,007315479;;;;;;;
0,132;0,2;661,8;1,6;0,067135524;56,15%;0,177715663;0,00846265;;;;;;;
;;;;;;;;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE;;Time;MAE;MAPE;SSE;MSE;
;;;1;0,049700723;25,80%;0,128327091;0,006110814;;9;0,045443274;26,59%;0,091373124;0,004351101;
